timestamp,cutoff_ym,n_users,n_categorias,Precision@10,Recall@10,F1@10,HitRate@10,Coverage,artefacto
20260613_0838,full,2105,73,0.0691,0.6907,0.1256,0.6907,0.3014,recommender_20260613_0838.pkl
20260613_0912,full,2105,73,0.0691,0.6907,0.1256,0.6907,0.3014,recommender_20260613_0912.pkl
